index,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales,Bacteria;Firmicutes;Clostridia;Lachnospirales,Bacteria;;;,Bacteria;Firmicutes;Clostridia;Oscillospirales,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales,Bacteria;Deferribacterota;Deferribacteres;Deferribacterales,Bacteria;Firmicutes;Bacilli;Lactobacillales,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales,Bacteria;Firmicutes;Bacilli;Erysipelotrichales,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014,Bacteria;Firmicutes;Bacilli;RF39,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales,Bacteria;Firmicutes;Clostridia;Monoglobales,Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;Firmicutes;Clostridia;,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales,Bacteria;Spirochaetota;Spirochaetia;Spirochaetales,Bacteria;Firmicutes;Bacilli;Staphylococcales,Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales,Bacteria;Firmicutes;Negativicutes;Acidaminococcales,Bacteria;Firmicutes;;,Bacteria;Firmicutes;Clostridia;Peptococcales,Bacteria;Campylobacterota;Campylobacteria;Campylobacterales,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group,Bacteria;Firmicutes;Clostridia;Christensenellales,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales,Bacteria;Bacteroidota;Bacteroidia;Cytophagales,;;;,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales,Bacteria;Firmicutes;Bacilli;,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales,Bacteria;Firmicutes;Bacilli;Bacillales,Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales,Bacteria;Proteobacteria;Gammaproteobacteria;MBMPE27,Bacteria;Bacteroidota;Bacteroidia;,Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales,Bacteria;Proteobacteria;Alphaproteobacteria;Paracaedibacterales,Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales,Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales,Bacteria;Firmicutes;Bacilli;Acholeplasmatales,condition
HB1,17937.0,7436.0,131.0,1960.0,178.0,0.0,84681.0,0.0,3644.0,231.0,262.0,4362.0,184.0,4.0,19.0,361.0,28.0,135.0,2.0,1657.0,4.0,22.0,0.0,95.0,0.0,0.0,1.0,5.0,15.0,33.0,4.0,654.0,0.0,2.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,HB
HB2,14523.0,2717.0,435.0,1073.0,1308.0,3.0,96404.0,0.0,3640.0,56.0,124.0,2262.0,94.0,0.0,0.0,76.0,53.0,142.0,0.0,98.0,0.0,226.0,0.0,267.0,4.0,0.0,0.0,9.0,288.0,14.0,0.0,1768.0,5.0,223.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,HB
HB3,22673.0,5300.0,8.0,1046.0,2537.0,3.0,83406.0,0.0,4611.0,96.0,300.0,3794.0,126.0,2.0,23.0,224.0,15.0,266.0,0.0,1362.0,0.0,314.0,0.0,92.0,6.0,0.0,0.0,0.0,285.0,20.0,0.0,1244.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,HB
HB4,8375.0,4562.0,341.0,1629.0,1620.0,0.0,120575.0,0.0,5166.0,86.0,545.0,549.0,122.0,3.0,0.0,107.0,48.0,186.0,0.0,77.0,2.0,340.0,0.0,63.0,5.0,0.0,0.0,2.0,243.0,13.0,0.0,262.0,4.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HB
HB5,14074.0,3394.0,115.0,2281.0,2004.0,3.0,94277.0,0.0,10409.0,83.0,299.0,769.0,154.0,6.0,0.0,178.0,30.0,340.0,1.0,457.0,0.0,466.0,0.0,121.0,5.0,0.0,3.0,3.0,297.0,15.0,33.0,838.0,8.0,110.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,104.0,3.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,HB
N1,48967.0,8559.0,2.0,4844.0,2156.0,4.0,20372.0,3.0,15900.0,216.0,344.0,2786.0,386.0,25.0,2.0,54.0,88.0,837.0,1.0,337.0,6.0,849.0,0.0,78.0,11.0,9.0,11.0,24.0,460.0,151.0,18.0,14298.0,18.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,6.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,N
N2,55799.0,15233.0,2.0,3991.0,3.0,0.0,20414.0,3.0,8666.0,389.0,331.0,4040.0,554.0,27.0,0.0,109.0,52.0,41.0,8.0,299.0,0.0,21.0,14.0,137.0,0.0,0.0,0.0,40.0,113.0,99.0,4.0,2445.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,N
N3,32876.0,7397.0,73.0,2430.0,3752.0,4.0,20133.0,0.0,8505.0,302.0,135.0,2706.0,249.0,4.0,0.0,49.0,10.0,333.0,8.0,589.0,0.0,509.0,2.0,91.0,10.0,0.0,1.0,12.0,519.0,38.0,4.0,52231.0,12.0,0.0,6.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,N
N4,50556.0,6887.0,0.0,1414.0,1440.0,0.0,22028.0,2.0,6116.0,100.0,429.0,3156.0,242.0,0.0,2.0,4.0,7.0,202.0,0.0,93.0,0.0,394.0,0.0,31.0,6.0,0.0,2.0,13.0,393.0,35.0,0.0,26474.0,8.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0,N
N5,21507.0,7171.0,1.0,3371.0,0.0,3.0,15626.0,0.0,5743.0,220.0,382.0,2505.0,223.0,10.0,0.0,178.0,95.0,55.0,10.0,276.0,3.0,12.0,3.0,350.0,0.0,0.0,1.0,13.0,93.0,51.0,13.0,52926.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
