sample,fastq_1,fastq_2,strandedness
WT_CE_REP1,M2391_CE/M2391_CE_1.fq.gz,M2391_CE/M2391_CE_2.fq.gz,auto
WT_CO_REP1,M2391_CO/M2391_CO_1.fq.gz,M2391_CO/M2391_CO_2.fq.gz,auto
KO_CE_REP1,M2392_CE/M2392_CE_1.fq.gz,M2392_CE/M2392_CE_2.fq.gz,auto
KO_CO_REP1,M2392_CO/M2392_CO_1.fq.gz,M2392_CO/M2392_CO_2.fq.gz,auto
WT_CE_REP2,M2393_CE/M2393_CE_1.fq.gz,M2393_CE/M2393_CE_2.fq.gz,auto
WT_CO_REP2,M2393_CO/M2393_CO_1.fq.gz,M2393_CO/M2393_CO_2.fq.gz,auto
KO_CE_REP2,M2484_CE/M2484_CE_1.fq.gz,M2484_CE/M2484_CE_2.fq.gz,auto
KO_CO_REP2,M2484_CO/M2484_CO_1.fq.gz,M2484_CO/M2484_CO_2.fq.gz,auto
KO_CE_REP3,M2487_CE/M2487_CE_1.fq.gz,M2487_CE/M2487_CE_2.fq.gz,auto
KO_CO_REP3,M2487_CO/M2487_CO_1.fq.gz,M2487_CO/M2487_CO_2.fq.gz,auto
WT_CE_REP3,M2488_CE/M2488_CE_1.fq.gz,M2488_CE/M2488_CE_2.fq.gz,auto
WT_CO_REP3,M2488_CO/M2488_CO_1.fq.gz,M2488_CO/M2488_CO_2.fq.gz,auto
WT_CE_REP4,M2489_CE/M2489_CE_1.fq.gz,M2489_CE/M2489_CE_2.fq.gz,auto
WT_CO_REP4,M2489_CO/M2489_CO_1.fq.gz,M2489_CO/M2489_CO_2.fq.gz,auto
KO_CE_REP4,M2491_CE/M2491_CE_1.fq.gz,M2491_CE/M2491_CE_2.fq.gz,auto
KO_CO_REP4,M2491_CO/M2491_CO_1.fq.gz,M2491_CO/M2491_CO_2.fq.gz,auto
